Finding a fit for 1000 stars, with 100 walkers for 20000 steps.
Graphs will be plotted...
A table will be printed...
Each sample will have its paramaters made to be ascending...
Mean acceptance fraction: 0.065903
Autocorrelation time: [ 96.78223682  97.5828728   95.60525858  95.47787288  98.36312929
  95.29904559  91.63043089  96.58517769]
 ____ GROUP 1 _____ 
Modelled mean: -2.02839790191, modelled std: 9.52704396597
'True' mean: 0.0, 'true' std: 10.0
With 31.9414226824% of the stars
 ____ GROUP 2 _____ 
Modelled mean: 1.3327493601, modelled std: 6.17533714868
'True' mean: 20.0, 'true' std: 3.0
With 23.203239406% of the stars
 ____ GROUP 3 _____ 
Modelled mean: 22.0541325433, modelled std: 5.52036767671
'True' mean: 25.0, 'true' std: 5.0
With 51.3252287599% of the stars

Cumulative fractions for reference:
[0.0, 0.5, 0.75, 1.0]
Star #	Group 1	Group 2	Group 3
638	 2.69%	 0.42%	96.89%
639	 7.70%	 2.89%	89.41%
640	 0.83%	 0.02%	99.15%
641	 2.14%	 0.26%	97.60%
642	 1.53%	 0.13%	98.35%
643	10.19%	 4.62%	85.19%
644	 4.27%	 1.03%	94.70%
645	 4.18%	 0.99%	94.83%
646	11.70%	 5.80%	82.50%
647	17.71%	11.37%	70.93%
648	 1.23%	 0.07%	98.69%
649	 2.86%	 0.48%	96.66%
650	 2.79%	 0.46%	96.75%
651	19.11%	12.87%	68.02%
652	18.96%	12.71%	68.34%
653	 0.75%	 0.02%	99.23%
654	 2.30%	 0.31%	97.39%
655	 2.68%	 0.42%	96.90%
656	 2.06%	 0.25%	97.69%
657	 5.56%	 1.65%	92.79%
658	 3.11%	 0.57%	96.32%
659	 5.28%	 1.51%	93.22%
660	19.40%	13.19%	67.41%
661	 7.07%	 2.51%	90.42%
662	11.16%	 5.37%	83.47%
663	 2.93%	 0.50%	96.57%
664	 2.74%	 0.44%	96.82%
665	 2.01%	 0.23%	97.76%
666	 9.74%	 4.28%	85.98%
667	 1.12%	 0.06%	98.82%
668	10.72%	 5.02%	84.26%
669	 3.06%	 0.55%	96.39%
670	 9.88%	 4.39%	85.74%
671	 1.06%	 0.05%	98.89%
672	 2.67%	 0.42%	96.91%
673	 3.28%	 0.63%	96.09%
674	 5.31%	 1.52%	93.17%
675	 2.00%	 0.23%	97.78%
676	 1.29%	 0.08%	98.62%
677	 1.33%	 0.09%	98.58%
678	14.27%	 8.00%	77.73%
679	 3.52%	 0.72%	95.76%
680	 2.76%	 0.45%	96.79%
681	16.29%	 9.93%	73.78%
682	 2.09%	 0.25%	97.65%
683	 3.73%	 0.80%	95.47%
684	 2.37%	 0.33%	97.30%
685	 1.43%	 0.11%	98.47%
686	 8.09%	 3.14%	88.77%
687	 2.73%	 0.44%	96.83%
688	 0.90%	 0.03%	99.07%
689	 4.75%	 1.25%	94.00%
690	 2.06%	 0.24%	97.70%
691	 7.57%	 2.81%	89.61%
692	 1.22%	 0.07%	98.71%
693	 9.13%	 3.85%	87.02%
694	 2.33%	 0.32%	97.36%
695	 2.62%	 0.40%	96.98%
696	 3.07%	 0.55%	96.37%
697	 3.17%	 0.59%	96.25%
698	 2.32%	 0.31%	97.37%
699	13.00%	 6.88%	80.11%
700	 3.96%	 0.90%	95.14%
701	 4.02%	 0.92%	95.06%
702	17.01%	10.65%	72.34%
703	 2.72%	 0.43%	96.85%
704	 1.64%	 0.15%	98.22%
705	 2.28%	 0.30%	97.41%
706	 4.89%	 1.31%	93.80%
707	 7.44%	 2.73%	89.83%
708	 2.06%	 0.25%	97.69%
709	 2.60%	 0.40%	97.00%
710	 2.13%	 0.26%	97.60%
711	 0.78%	 0.02%	99.21%
712	 9.34%	 4.00%	86.66%
713	 1.49%	 0.12%	98.39%
714	 6.11%	 1.95%	91.95%
715	17.35%	11.00%	71.65%
716	 1.20%	 0.07%	98.73%
717	 2.05%	 0.24%	97.71%
718	 1.81%	 0.19%	98.00%
719	10.63%	 4.95%	84.42%
720	 9.73%	 4.28%	85.99%
721	 3.07%	 0.55%	96.38%
722	19.84%	13.69%	66.46%
723	 8.27%	 3.27%	88.46%
724	 1.42%	 0.10%	98.48%
725	 4.54%	 1.15%	94.31%
726	 4.59%	 1.18%	94.23%
727	 5.51%	 1.62%	92.87%
728	 4.98%	 1.36%	93.67%
729	 5.90%	 1.83%	92.27%
730	 4.29%	 1.04%	94.67%
731	 3.04%	 0.54%	96.41%
732	 5.42%	 1.58%	93.00%
733	 6.42%	 2.12%	91.47%
734	 2.42%	 0.34%	97.24%
735	 4.45%	 1.11%	94.44%
736	 4.83%	 1.29%	93.88%
737	 2.52%	 0.37%	97.11%
738	 5.59%	 1.67%	92.74%
739	 1.69%	 0.16%	98.15%
740	12.42%	 6.39%	81.19%
741	 1.83%	 0.19%	97.99%
742	16.67%	10.31%	73.02%
743	 4.50%	 1.14%	94.36%
744	 3.70%	 0.79%	95.51%
745	 1.98%	 0.23%	97.79%
746	 4.14%	 0.97%	94.89%
747	 3.03%	 0.54%	96.43%
748	 2.98%	 0.52%	96.50%
749	 5.80%	 1.78%	92.43%
750	31.88%	31.23%	36.89%
751	 0.64%	 0.01%	99.35%
752	 1.26%	 0.08%	98.67%
753	 0.61%	 0.01%	99.39%
754	 0.62%	 0.01%	99.38%
755	 1.25%	 0.08%	98.67%
756	 1.21%	 0.07%	98.72%
757	 0.73%	 0.01%	99.26%
758	10.37%	 4.75%	84.89%
759	 1.65%	 0.15%	98.20%
760	 3.93%	 0.88%	95.18%
761	 1.28%	 0.08%	98.64%
762	 6.38%	 2.10%	91.53%
763	 0.81%	 0.02%	99.17%
764	 0.47%	 0.00%	99.53%
765	 0.80%	 0.02%	99.18%
766	 0.58%	 0.01%	99.42%
767	 2.57%	 0.39%	97.04%
768	 1.87%	 0.20%	97.94%
769	 1.11%	 0.06%	98.83%
770	 0.63%	 0.01%	99.37%
771	 1.14%	 0.06%	98.80%
772	 1.08%	 0.05%	98.86%
773	 1.45%	 0.11%	98.44%
774	20.28%	14.19%	65.54%
775	 0.50%	 0.00%	99.50%
776	 3.30%	 0.63%	96.07%
777	 0.53%	 0.00%	99.46%
778	 1.91%	 0.21%	97.88%
779	 2.27%	 0.30%	97.43%
780	 1.64%	 0.15%	98.21%
781	 4.98%	 1.36%	93.66%
782	12.21%	 6.22%	81.57%
783	 0.56%	 0.00%	99.44%
784	 0.49%	 0.00%	99.50%
785	 0.87%	 0.03%	99.10%
786	 0.89%	 0.03%	99.08%
787	 4.56%	 1.16%	94.27%
788	14.54%	 8.25%	77.21%
789	 0.69%	 0.01%	99.30%
790	 3.19%	 0.60%	96.21%
791	 1.06%	 0.05%	98.89%
792	 8.65%	 3.52%	87.83%
793	 0.76%	 0.02%	99.22%
794	 0.50%	 0.00%	99.50%
795	 1.05%	 0.05%	98.90%
796	 1.05%	 0.05%	98.90%
797	 0.47%	 0.00%	99.53%
798	 0.96%	 0.04%	99.00%
799	 0.63%	 0.01%	99.37%
800	 0.52%	 0.00%	99.48%
801	 0.90%	 0.03%	99.07%
802	 1.90%	 0.21%	97.89%
803	 1.40%	 0.10%	98.50%
804	 0.81%	 0.02%	99.17%
805	 5.57%	 1.66%	92.78%
806	 0.48%	 0.00%	99.52%
807	 1.40%	 0.10%	98.50%
808	 0.82%	 0.02%	99.16%
809	 0.91%	 0.03%	99.06%
810	 3.46%	 0.70%	95.84%
811	 3.33%	 0.65%	96.03%
812	 1.52%	 0.12%	98.35%
813	 4.50%	 1.13%	94.37%
814	 2.75%	 0.44%	96.81%
815	 6.79%	 2.34%	90.87%
816	 0.49%	 0.00%	99.50%
817	 0.80%	 0.02%	99.18%
818	 0.47%	 0.00%	99.53%
819	 1.76%	 0.17%	98.06%
820	 5.82%	 1.79%	92.39%
821	 1.32%	 0.09%	98.59%
822	 5.98%	 1.87%	92.15%
823	 0.64%	 0.01%	99.35%
824	 0.99%	 0.04%	98.97%
825	 0.57%	 0.01%	99.42%
826	 0.57%	 0.01%	99.43%
827	 0.85%	 0.03%	99.12%
828	 1.69%	 0.16%	98.15%
829	 2.48%	 0.36%	97.16%
830	 7.54%	 2.80%	89.66%
831	 1.03%	 0.05%	98.93%
832	 9.22%	 3.91%	86.87%
833	 6.17%	 1.98%	91.84%
834	 0.72%	 0.01%	99.27%
835	 0.94%	 0.04%	99.02%
836	13.60%	 7.41%	78.99%
837	 0.73%	 0.02%	99.26%
838	 2.64%	 0.41%	96.94%
839	 2.85%	 0.48%	96.68%
840	 2.86%	 0.48%	96.66%
841	 1.79%	 0.18%	98.03%
842	 4.63%	 1.19%	94.17%
843	 1.09%	 0.05%	98.86%
844	 1.72%	 0.17%	98.11%
845	 0.90%	 0.03%	99.07%
846	 0.63%	 0.01%	99.36%
847	 0.48%	 0.00%	99.52%
848	 0.50%	 0.00%	99.50%
849	 2.51%	 0.37%	97.12%
850	 0.63%	 0.01%	99.36%
851	 1.40%	 0.10%	98.50%
852	 0.77%	 0.02%	99.21%
853	 0.70%	 0.01%	99.28%
854	 0.51%	 0.00%	99.49%
855	 1.30%	 0.08%	98.62%
856	 0.96%	 0.04%	99.01%
857	 0.59%	 0.01%	99.40%
858	 0.61%	 0.01%	99.39%
859	 2.41%	 0.34%	97.24%
860	21.33%	15.42%	63.24%
861	 0.63%	 0.01%	99.36%
862	 0.66%	 0.01%	99.33%
863	 0.59%	 0.00%	99.41%
864	 0.67%	 0.01%	99.32%
865	 0.49%	 0.00%	99.50%
866	 4.24%	 1.02%	94.75%
867	 0.63%	 0.01%	99.36%
868	 1.32%	 0.09%	98.60%
869	 1.26%	 0.08%	98.66%
870	 0.78%	 0.02%	99.20%
871	 2.47%	 0.36%	97.17%
872	 2.88%	 0.49%	96.63%
873	 0.81%	 0.02%	99.17%
874	 6.56%	 2.20%	91.24%
875	 0.76%	 0.02%	99.22%
876	 2.75%	 0.45%	96.80%
877	 0.50%	 0.00%	99.50%
878	 1.33%	 0.09%	98.58%
879	 0.59%	 0.01%	99.40%
880	 1.15%	 0.06%	98.79%
881	 1.01%	 0.04%	98.95%
882	 0.49%	 0.00%	99.51%
883	 0.86%	 0.03%	99.11%
884	 1.09%	 0.05%	98.86%
885	 5.86%	 1.81%	92.33%
886	 1.32%	 0.09%	98.59%
887	 0.84%	 0.02%	99.14%
888	 1.21%	 0.07%	98.72%
889	 0.57%	 0.01%	99.42%
890	 0.89%	 0.03%	99.08%
891	 4.24%	 1.01%	94.75%
892	 1.11%	 0.06%	98.83%
893	 0.67%	 0.01%	99.32%
894	 0.65%	 0.01%	99.34%
895	 2.93%	 0.50%	96.57%
896	 0.77%	 0.02%	99.22%
897	 0.53%	 0.00%	99.47%
898	 3.25%	 0.62%	96.13%
899	 1.63%	 0.15%	98.23%
900	 0.49%	 0.00%	99.51%
901	 0.74%	 0.02%	99.25%
902	 5.76%	 1.76%	92.49%
903	 1.20%	 0.07%	98.73%
904	 1.22%	 0.07%	98.71%
905	 1.57%	 0.13%	98.30%
906	 0.53%	 0.00%	99.47%
907	 1.03%	 0.05%	98.92%
908	 1.45%	 0.11%	98.44%
909	 1.00%	 0.04%	98.96%
910	 1.35%	 0.09%	98.56%
911	 2.96%	 0.51%	96.53%
912	 0.86%	 0.03%	99.12%
913	 0.77%	 0.02%	99.21%
914	 0.83%	 0.02%	99.14%
915	 4.19%	 1.00%	94.81%
916	 0.47%	 0.00%	99.52%
917	 2.39%	 0.34%	97.27%
918	17.53%	11.18%	71.29%
919	 1.09%	 0.05%	98.85%
920	 0.85%	 0.03%	99.12%
921	 0.68%	 0.01%	99.31%
922	 0.48%	 0.00%	99.52%
923	 9.32%	 3.99%	86.69%
924	 0.75%	 0.02%	99.23%
925	 0.67%	 0.01%	99.32%
926	 4.20%	 1.00%	94.80%
927	 2.64%	 0.41%	96.95%
928	 1.00%	 0.04%	98.96%
929	 0.49%	 0.00%	99.51%
930	 1.10%	 0.06%	98.84%
931	 0.97%	 0.04%	99.00%
932	 0.48%	 0.00%	99.52%
933	 1.02%	 0.04%	98.93%
934	 7.05%	 2.49%	90.46%
935	 0.52%	 0.00%	99.48%
936	 1.11%	 0.06%	98.84%
937	 0.50%	 0.00%	99.50%
938	 0.61%	 0.01%	99.38%
939	 0.53%	 0.00%	99.47%
940	 1.26%	 0.08%	98.66%
941	 0.87%	 0.03%	99.10%
942	 0.72%	 0.01%	99.26%
943	 2.68%	 0.42%	96.89%
944	 1.24%	 0.07%	98.69%
945	 1.52%	 0.12%	98.36%
946	 0.84%	 0.02%	99.14%
947	 8.34%	 3.31%	88.35%
948	 0.65%	 0.01%	99.34%
949	 1.91%	 0.21%	97.88%
950	 0.92%	 0.03%	99.05%
951	 0.56%	 0.00%	99.44%
952	 0.58%	 0.01%	99.41%
953	 0.66%	 0.01%	99.33%
954	 1.22%	 0.07%	98.70%
955	 1.18%	 0.07%	98.76%
956	 2.35%	 0.32%	97.33%
957	 1.22%	 0.07%	98.71%
958	 0.68%	 0.01%	99.31%
959	 1.80%	 0.18%	98.02%
960	 0.58%	 0.01%	99.41%
961	 6.49%	 2.16%	91.34%
962	 0.68%	 0.01%	99.31%
963	 0.60%	 0.01%	99.39%
964	 0.84%	 0.02%	99.13%
965	 5.76%	 1.76%	92.48%
966	 0.50%	 0.00%	99.50%
967	37.39%	45.54%	17.07%
968	 0.91%	 0.03%	99.06%
969	 1.08%	 0.05%	98.87%
970	 1.62%	 0.14%	98.24%
971	 1.54%	 0.13%	98.33%
972	 1.61%	 0.14%	98.25%
973	 1.00%	 0.04%	98.96%
974	 3.96%	 0.90%	95.14%
975	 5.25%	 1.49%	93.26%
976	 0.59%	 0.00%	99.41%
977	 5.54%	 1.64%	92.81%
978	 0.50%	 0.00%	99.49%
979	 9.89%	 4.40%	85.71%
980	 1.12%	 0.06%	98.82%
981	 1.26%	 0.08%	98.66%
982	 0.51%	 0.00%	99.49%
983	 0.65%	 0.01%	99.34%
984	 1.20%	 0.07%	98.73%
985	 1.24%	 0.07%	98.69%
986	 0.71%	 0.01%	99.27%
987	 2.62%	 0.40%	96.98%
988	 1.83%	 0.19%	97.98%
989	 2.84%	 0.47%	96.69%
990	 1.61%	 0.14%	98.24%
991	 1.74%	 0.17%	98.10%
992	 0.47%	 0.00%	99.53%
993	 5.90%	 1.83%	92.26%
994	 0.65%	 0.01%	99.34%
995	 0.72%	 0.01%	99.27%
996	 0.47%	 0.00%	99.53%
997	 1.06%	 0.05%	98.89%
998	 3.32%	 0.64%	96.04%
999	 0.52%	 0.00%	99.48%
Success rate of  41.10%
