Finding a fit for 1000 stars, with 100 walkers for 20000 steps.
Graphs will be plotted...
A table will be printed...
Each sample will have its paramaters made to be ascending...
Mean acceptance fraction: 0.065903
Autocorrelation time: [ 96.78223682  97.5828728   95.60525858  95.47787288  98.36312929
  95.29904559  91.63043089  96.58517769]
 ____ GROUP 1 _____ 
Modelled mean: -2.02839790191, modelled std: 9.52704396597
'True' mean: 0.0, 'true' std: 10.0
With 31.9414226824% of the stars
 ____ GROUP 2 _____ 
Modelled mean: 1.3327493601, modelled std: 6.17533714868
'True' mean: 20.0, 'true' std: 3.0
With 23.203239406% of the stars
 ____ GROUP 3 _____ 
Modelled mean: 22.0541325433, modelled std: 5.52036767671
'True' mean: 25.0, 'true' std: 5.0
With 51.3252287599% of the stars

Cumulative fractions for reference:
[0.0, 0.5, 0.75, 1.0]
Star #	Group 1	Group 2	Group 3
153	85.11%	14.89%	 0.00%
154	37.66%	62.27%	 0.07%
155	68.56%	31.44%	 0.00%
156	43.15%	56.85%	 0.01%
157	59.45%	40.55%	 0.00%
158	37.45%	62.46%	 0.08%
159	38.56%	61.40%	 0.04%
160	36.98%	62.88%	 0.15%
161	38.75%	61.22%	 0.03%
162	 6.73%	 2.30%	90.97%
163	52.64%	47.36%	 0.00%
164	 4.68%	 1.22%	94.10%
165	44.34%	55.66%	 0.00%
166	46.04%	53.95%	 0.00%
167	36.72%	63.02%	 0.26%
168	98.88%	 1.12%	 0.00%
169	38.45%	53.51%	 8.04%
170	74.87%	25.13%	 0.00%
171	36.87%	62.95%	 0.18%
172	54.58%	45.42%	 0.00%
173	38.42%	52.45%	 9.14%
174	 2.76%	 0.45%	96.79%
175	37.01%	62.85%	 0.14%
176	65.62%	34.38%	 0.00%
177	22.58%	16.96%	60.46%
178	80.61%	19.39%	 0.00%
179	56.56%	43.44%	 0.00%
180	37.00%	61.97%	 1.03%
181	37.19%	62.70%	 0.11%
182	55.78%	44.22%	 0.00%
183	38.24%	50.34%	11.42%
184	96.58%	 3.42%	 0.00%
185	35.41%	39.10%	25.49%
186	 0.57%	 0.01%	99.42%
187	40.67%	59.32%	 0.01%
188	68.18%	31.82%	 0.00%
189	36.72%	63.02%	 0.25%
190	34.97%	37.97%	27.05%
191	37.23%	44.90%	17.86%
192	49.42%	50.58%	 0.00%
193	36.71%	62.77%	 0.52%
194	86.67%	13.33%	 0.00%
195	38.46%	61.50%	 0.04%
196	34.47%	36.74%	28.79%
197	38.39%	52.02%	 9.59%
198	57.69%	42.31%	 0.00%
199	37.88%	62.06%	 0.06%
